mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_iter,param_clf__max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7850739002227783,0.027356916505246624,0.060982561111450194,0.00944365681031223,0.3745401188473625,0.20014286128198325,206,17,"{'clf__l2_regularization': 0.3745401188473625, 'clf__learning_rate': 0.20014286128198325, 'clf__max_iter': 206, 'clf__max_leaf_nodes': 17}",0.923296,0.9342940000000001,0.927684,0.9400339999999999,0.915984,0.9282584,0.00837507572741881,37
0.8834210395812988,0.08470923493072319,0.055962657928466795,0.01029627860142581,0.5986584841970366,0.0412037280884873,174,20,"{'clf__l2_regularization': 0.5986584841970366, 'clf__learning_rate': 0.0412037280884873, 'clf__max_iter': 174, 'clf__max_leaf_nodes': 20}",0.9282810000000001,0.939562,0.9309529999999999,0.938491,0.91848,0.9311534,0.007660950818273144,16
0.8047275543212891,0.0751255936059002,0.0586087703704834,0.007824675589097423,0.8661761457749352,0.13022300234864176,251,12,"{'clf__l2_regularization': 0.8661761457749352, 'clf__learning_rate': 0.13022300234864176, 'clf__max_iter': 251, 'clf__max_leaf_nodes': 12}",0.9267160000000001,0.937905,0.9297770000000001,0.93866,0.919367,0.930485,0.0072139250619894695,23
1.978045606613159,0.1885789569332878,0.10041160583496093,0.009962617272318444,0.020584494295802447,0.20398197043239888,257,47,"{'clf__l2_regularization': 0.020584494295802447, 'clf__learning_rate': 0.20398197043239888, 'clf__max_iter': 257, 'clf__max_leaf_nodes': 47}",0.9201550000000001,0.928458,0.925661,0.938551,0.9150800000000001,0.925581,0.00795257072901584,48
1.1595311641693116,0.08901895154102156,0.06647787094116211,0.004672603484415702,0.0007787658410143283,0.20844231185824352,260,21,"{'clf__l2_regularization': 0.0007787658410143283, 'clf__learning_rate': 0.20844231185824352, 'clf__max_iter': 260, 'clf__max_leaf_nodes': 21}",0.922088,0.9300289999999999,0.9248679999999999,0.938624,0.913592,0.9258402,0.008318824061127876,47
1.4031651020050049,0.0751606259816603,0.061205291748046876,0.010062595731957452,0.6116531604882809,0.011413261043943482,188,36,"{'clf__l2_regularization': 0.6116531604882809, 'clf__learning_rate': 0.011413261043943482, 'clf__max_iter': 188, 'clf__max_leaf_nodes': 36}",0.9226639999999999,0.9323094999999999,0.9232375,0.932097,0.9075720000000002,0.923576,0.009010613802621801,49
1.4048699855804443,0.012728860378926083,0.08858933448791503,0.003370115136757832,0.6118528947223795,0.03789877213040837,287,25,"{'clf__l2_regularization': 0.6118528947223795, 'clf__learning_rate': 0.03789877213040837, 'clf__max_iter': 287, 'clf__max_leaf_nodes': 25}",0.9287059999999999,0.9398299999999999,0.9307809999999999,0.9401240000000001,0.921208,0.9321297999999999,0.007155804592077687,4
0.9662698745727539,0.020710683966032237,0.0735560417175293,0.009138290270422888,0.23277134043030423,0.02812128690656416,289,12,"{'clf__l2_regularization': 0.23277134043030423, 'clf__learning_rate': 0.02812128690656416, 'clf__max_iter': 289, 'clf__max_leaf_nodes': 12}",0.9289419999999999,0.939158,0.931381,0.938222,0.9170349999999999,0.9309476,0.00797619294149788,22
1.2871047496795653,0.06300754602945323,0.06571674346923828,0.0024961414198271365,0.8599404067363206,0.14606150771755597,172,48,"{'clf__l2_regularization': 0.8599404067363206, 'clf__learning_rate': 0.14606150771755597, 'clf__max_iter': 172, 'clf__max_leaf_nodes': 48}",0.921249,0.936633,0.9270869999999999,0.9402830000000001,0.916035,0.9282574,0.009106484494029543,38
0.42499542236328125,0.006472408642577973,0.03523178100585937,0.0030674230182628544,0.013264961159866528,0.19844035113697056,113,18,"{'clf__l2_regularization': 0.013264961159866528, 'clf__learning_rate': 0.19844035113697056, 'clf__max_iter': 113, 'clf__max_leaf_nodes': 18}",0.92541,0.936436,0.927078,0.938584,0.9173309999999999,0.9289677999999999,0.007744542759905236,32
0.7243392467498779,0.0066467888445290325,0.0508695125579834,0.0018575491203237553,0.015966252220214194,0.056178765124429805,191,16,"{'clf__l2_regularization': 0.015966252220214194, 'clf__learning_rate': 0.056178765124429805, 'clf__max_iter': 191, 'clf__max_leaf_nodes': 16}",0.928621,0.940062,0.931368,0.9396240000000001,0.9202019999999999,0.9319754,0.007404431959306595,5
0.5863010883331299,0.05027133378141045,0.03823113441467285,0.004380577808006724,0.6099966577826209,0.17663898234723288,134,23,"{'clf__l2_regularization': 0.6099966577826209, 'clf__learning_rate': 0.17663898234723288, 'clf__max_iter': 134, 'clf__max_leaf_nodes': 23}",0.925708,0.9357269999999999,0.927627,0.937368,0.9158370000000001,0.9284533999999999,0.007742984659677361,34
0.674335241317749,0.024832918175871115,0.05566720962524414,0.0033756675771761543,0.3910606075732408,0.04644721755761247,231,11,"{'clf__l2_regularization': 0.3910606075732408, 'clf__learning_rate': 0.04644721755761247, 'clf__max_iter': 231, 'clf__max_leaf_nodes': 11}",0.9284199999999999,0.9402589999999998,0.931944,0.938466,0.918585,0.9315348,0.007768139324188239,13
0.7014561176300049,0.021465888112707374,0.034967899322509766,0.004919615708082064,0.4251558744912447,0.05158833257363777,103,38,"{'clf__l2_regularization': 0.4251558744912447, 'clf__learning_rate': 0.05158833257363777, 'clf__max_iter': 103, 'clf__max_leaf_nodes': 38}",0.926563,0.939146,0.9312509999999999,0.940088,0.9177930000000001,0.9309681999999999,0.008283946194900095,20
